direction,time_s,time_min,time_hour,signal,detrended_amplitude,prominence
downward,14060.428001,234.34046668333335,3.9056744447222225,-0.421297,-0.0015720000000000178,0.001697000000000004
downward,1589.265,26.487750000000002,0.44146250000000004,-0.421947,-0.00042799999999998395,0.0009219999999999784
upward,1686.341,28.10568333333333,0.4684280555555555,-0.419393,0.0004939999999999944,0.0009219999999999784
downward,7545.819,125.76365000000001,2.0960608333333335,-0.420738,-0.0003790000000000182,0.0008550000000000502
upward,7799.961,129.99935,2.1666558333333334,-0.419948,0.00047600000000003195,0.0008550000000000502
upward,1111.036,18.517266666666668,0.3086211111111111,-0.41952,0.0004830000000000112,0.0006970000000000032
downward,1178.112,19.6352,0.32725333333333334,-0.420261,-0.00021399999999999197,0.0006970000000000032
upward,6329.85,105.4975,1.7582916666666668,-0.419464,0.0004899999999999904,0.0006820000000000159
downward,6029.175,100.48625,1.6747708333333333,-0.420397,-0.00019200000000002548,0.0006820000000000159
downward,5908.48,98.47466666666666,1.6412444444444443,-0.420131,-8.999999999997899e-05,0.0006459999999999799
upward,5954.913,99.24855,1.6541424999999998,-0.419566,0.0005560000000000009,0.0006459999999999799
upward,10439.942001,173.99903335,2.8999838891666667,-0.419062,0.00041200000000002346,0.0006340000000000234
downward,10535.962001,175.59936668333333,2.9266561113888887,-0.419583,-0.00022199999999999998,0.0006340000000000234
upward,292.075,4.867916666666667,0.08113194444444444,-0.419308,0.0004869999999999597,0.0006259999999999599
upward,5647.929,94.13215,1.5688691666666668,-0.419386,0.00047000000000002595,0.0006130000000000302
downward,5771.705,96.19508333333333,1.6032513888888889,-0.420031,-0.00014300000000000423,0.0006130000000000302
downward,8623.637001,143.72728335,2.3954547225,-0.420408,-0.00019299999999999873,0.0006029999999999647
upward,8260.910001,137.68183335,2.2946972225,-0.420179,0.00040999999999996595,0.0006029999999999647
upward,6883.628,114.72713333333333,1.9121188888888887,-0.419584,0.00040800000000001946,0.0005820000000000269
downward,7138.14,118.96900000000001,1.9828166666666667,-0.420232,-0.00017400000000000748,0.0005820000000000269
downward,6266.662,104.44436666666667,1.7407394444444446,-0.420119,-7.500000000004725e-05,0.0005590000000000317
upward,6125.353,102.08921666666667,1.7014869444444445,-0.419569,0.00048399999999998444,0.0005590000000000317
downward,5605.479,93.42465,1.5570775000000001,-0.420525,-0.0003950000000000342,0.0005430000000000157
upward,5550.637,92.51061666666666,1.5418436111111111,-0.419921,0.00014799999999998148,0.0005430000000000157
downward,9427.355001,157.12258334999999,2.6187097225,-0.421206,-0.00024399999999996647,0.0005359999999999809
upward,9348.639001,155.81065001666667,2.5968441669444444,-0.419487,0.00029200000000001447,0.0005359999999999809
upward,8979.587001,149.65978335,2.4943297225,-0.418437,0.0003489999999999882,0.0004979999999999984
downward,8863.645001,147.72741668333336,2.462123611388889,-0.418995,-0.00014900000000001024,0.0004979999999999984
upward,4481.053,74.68421666666667,1.2447369444444445,-0.419568,0.000138000000000027,0.0004810000000000647
downward,4332.67,72.21116666666667,1.2035194444444444,-0.420047,-0.0003430000000000377,0.0004810000000000647
upward,11478.078001,191.30130001666666,3.188355000277778,-0.41844,0.00035000000000001696,0.0004670000000000507
downward,11253.643001,187.56071668333334,3.1260119447222223,-0.419481,-0.00011700000000003374,0.0004670000000000507
downward,250.17,4.1695,0.06949166666666666,-0.419873,-0.00013900000000000023,0.00045600000000001195
downward,7774.127,129.56878333333333,2.159479722222222,-0.420512,-3.700000000000925e-05,0.0004410000000000247
upward,7715.798,128.59663333333333,2.1432772222222223,-0.420028,0.00040400000000001546,0.0004410000000000247
upward,6693.681,111.56134999999999,1.8593558333333333,-0.419723,0.00026799999999999047,0.00042199999999997795
downward,6789.701,113.16168333333333,1.8860280555555555,-0.420225,-0.00015399999999998748,0.00042199999999997795
upward,7285.399,121.42331666666668,2.0237219444444445,-0.419676,0.0004009999999999847,0.0004190000000000027
upward,11558.338001,192.63896668333334,3.2106494447222222,-0.418754,0.0002909999999999857,0.00041200000000002346
downward,11530.210001,192.17016668333332,3.202836111388889,-0.419135,-0.00012100000000003774,0.00041200000000002346
downward,10172.145001,169.53575001666667,2.825595833611111,-0.419923,-0.000140000000000029,0.00040200000000006897
upward,10110.877001,168.51461668333334,2.8085769447222226,-0.419562,0.00026200000000004,0.00040200000000006897
downward,13679.367001,227.98945001666667,3.7998241669444446,-0.419272,-0.0003049999999999997,0.0004009999999999847
upward,13642.946001,227.38243335,3.7897072225,-0.418163,9.599999999998499e-05,0.0004009999999999847
upward,109.767,1.82945,0.03049083333333333,-0.419508,0.0003170000000000117,0.0003950000000000342
downward,7860.202,131.00336666666666,2.1833894444444444,-0.420598,-9.699999999995823e-05,0.00038399999999993994
upward,7875.092,131.25153333333333,2.1875255555555553,-0.420274,0.0002869999999999817,0.00038399999999993994
upward,699.796,11.663266666666667,0.1943877777777778,-0.419351,0.000246000000000024,0.0003790000000000182
downward,448.252,7.470866666666667,0.12451444444444444,-0.419799,-0.00013299999999999423,0.0003790000000000182
