time_s,signal,time_min,time_hour,smoothed_signal,baseline,detrended_signal
421.754,-0.419757,7.029233333333334,0.11715388888888889,-0.419757,-0.419666,-9.100000000000774e-05
421.897,-0.419721,7.031616666666666,0.11719361111111111,-0.419757,-0.419666,-9.100000000000774e-05
422.036,-0.419782,7.033933333333334,0.11723222222222222,-0.419765,-0.419666,-9.900000000001574e-05
422.178,-0.419791,7.0363,0.11727166666666666,-0.419765,-0.419666,-9.900000000001574e-05
422.307,-0.419693,7.03845,0.11730750000000001,-0.419757,-0.419666,-9.100000000000774e-05
422.449,-0.419718,7.040816666666667,0.11734694444444445,-0.419757,-0.419666,-9.100000000000774e-05
422.593,-0.419787,7.043216666666667,0.11738694444444445,-0.419765,-0.419666,-9.900000000001574e-05
422.737,-0.419765,7.045616666666667,0.11742694444444444,-0.419757,-0.419666,-9.100000000000774e-05
422.883,-0.419705,7.04805,0.11746749999999999,-0.419734,-0.419666,-6.80000000000125e-05
423.027,-0.419765,7.05045,0.1175075,-0.419757,-0.419666,-9.100000000000774e-05
423.162,-0.41979,7.0527,0.117545,-0.419765,-0.419666,-9.900000000001574e-05
423.302,-0.419721,7.055033333333333,0.11758388888888889,-0.419757,-0.419666,-9.100000000000774e-05
423.444,-0.419728,7.0574,0.11762333333333334,-0.419745,-0.419666,-7.899999999999574e-05
423.577,-0.419795,7.059616666666667,0.11766027777777778,-0.419765,-0.419666,-9.900000000001574e-05
423.708,-0.419792,7.061800000000001,0.11769666666666667,-0.419765,-0.419666,-9.900000000001574e-05
423.849,-0.419697,7.06415,0.11773583333333333,-0.419745,-0.419666,-7.899999999999574e-05
423.99,-0.41973,7.0665000000000004,0.117775,-0.419754,-0.419666,-8.80000000000325e-05
424.127,-0.419796,7.068783333333333,0.11781305555555556,-0.419765,-0.419666,-9.900000000001574e-05
424.262,-0.419734,7.071033333333333,0.11785055555555556,-0.419754,-0.419666,-8.80000000000325e-05
424.403,-0.419718,7.073383333333334,0.11788972222222223,-0.419745,-0.419666,-7.899999999999574e-05
424.543,-0.419789,7.075716666666667,0.11792861111111111,-0.419754,-0.419666,-8.80000000000325e-05
424.681,-0.41979,7.078016666666667,0.11796694444444444,-0.419754,-0.419666,-8.80000000000325e-05
424.826,-0.419716,7.080433333333334,0.11800722222222222,-0.419745,-0.419666,-7.899999999999574e-05
424.969,-0.419745,7.082816666666667,0.11804694444444444,-0.419745,-0.419666,-7.899999999999574e-05
425.111,-0.419801,7.085183333333333,0.11808638888888888,-0.419754,-0.419666,-8.80000000000325e-05
425.243,-0.419793,7.087383333333333,0.11812305555555555,-0.419754,-0.419666,-8.80000000000325e-05
425.374,-0.419732,7.089566666666667,0.11815944444444446,-0.419745,-0.419666,-7.899999999999574e-05
425.504,-0.419754,7.091733333333334,0.11819555555555557,-0.419745,-0.419666,-7.899999999999574e-05
425.636,-0.419808,7.093933333333334,0.11823222222222222,-0.419754,-0.419666,-8.80000000000325e-05
425.767,-0.419741,7.096116666666666,0.11826861111111112,-0.419754,-0.419666,-8.80000000000325e-05
425.91,-0.41973,7.0985000000000005,0.11830833333333333,-0.419754,-0.419666,-8.80000000000325e-05
426.044,-0.41979,7.100733333333333,0.11834555555555555,-0.419776,-0.419666,-0.00010999999999999899
426.185,-0.419776,7.103083333333333,0.11838472222222222,-0.419776,-0.419666,-0.00010999999999999899
426.328,-0.419722,7.105466666666667,0.11842444444444444,-0.419754,-0.419666,-8.80000000000325e-05
426.46,-0.41973,7.107666666666666,0.1184611111111111,-0.419754,-0.419666,-8.80000000000325e-05
426.594,-0.419813,7.1099,0.11849833333333333,-0.419776,-0.419666,-0.00010999999999999899
426.723,-0.419786,7.11205,0.11853416666666668,-0.419776,-0.419666,-0.00010999999999999899
426.853,-0.419726,7.114216666666667,0.11857027777777777,-0.419754,-0.419666,-8.80000000000325e-05
426.983,-0.419726,7.116383333333333,0.11860638888888889,-0.419754,-0.419666,-8.80000000000325e-05
427.116,-0.419794,7.1186,0.11864333333333332,-0.419776,-0.419666,-0.00010999999999999899
427.246,-0.419808,7.1207666666666665,0.11867944444444443,-0.419765,-0.419666,-9.900000000001574e-05
427.378,-0.419741,7.122966666666667,0.1187161111111111,-0.419765,-0.419666,-9.900000000001574e-05
427.508,-0.419778,7.125133333333333,0.11875222222222222,-0.419776,-0.419666,-0.00010999999999999899
427.641,-0.419812,7.127350000000001,0.11878916666666667,-0.419776,-0.419666,-0.00010999999999999899
427.772,-0.419732,7.129533333333333,0.11882555555555556,-0.419765,-0.419666,-9.900000000001574e-05
427.906,-0.419733,7.131766666666667,0.11886277777777778,-0.419765,-0.419666,-9.900000000001574e-05
428.055,-0.41979,7.13425,0.11890416666666667,-0.419778,-0.419666,-0.00011200000000000099
428.192,-0.419803,7.136533333333333,0.11894222222222223,-0.419778,-0.419666,-0.00011200000000000099
428.333,-0.419713,7.138883333333334,0.1189813888888889,-0.419765,-0.419666,-9.900000000001574e-05
428.477,-0.419727,7.141283333333333,0.11902138888888888,-0.419765,-0.419666,-9.900000000001574e-05
428.614,-0.419796,7.143566666666667,0.11905944444444444,-0.419778,-0.419666,-0.00011200000000000099
428.76,-0.419765,7.146,0.1191,-0.419765,-0.419666,-9.900000000001574e-05
428.903,-0.419722,7.148383333333333,0.11913972222222223,-0.419741,-0.419666,-7.499999999999174e-05
429.038,-0.41978,7.150633333333333,0.11917722222222223,-0.419765,-0.419666,-9.900000000001574e-05
429.167,-0.419815,7.152783333333333,0.11921305555555554,-0.419765,-0.419666,-9.900000000001574e-05
429.298,-0.419732,7.154966666666667,0.11924944444444445,-0.419739,-0.419666,-7.299999999998974e-05
429.433,-0.419718,7.157216666666667,0.11928694444444445,-0.419765,-0.419666,-9.900000000001574e-05
429.572,-0.419793,7.159533333333333,0.11932555555555556,-0.41978,-0.419666,-0.00011400000000000299
429.714,-0.419791,7.1619,0.119365,-0.419765,-0.419666,-9.900000000001574e-05
429.856,-0.419739,7.164266666666666,0.11940444444444444,-0.419739,-0.419666,-7.299999999998974e-05
429.999,-0.41972,7.166650000000001,0.11944416666666667,-0.419765,-0.419666,-9.900000000001574e-05
430.136,-0.419793,7.168933333333333,0.11948222222222223,-0.41978,-0.419666,-0.00011400000000000299
430.282,-0.419728,7.171366666666667,0.11952277777777777,-0.419765,-0.419666,-9.900000000001574e-05
430.432,-0.419712,7.173866666666667,0.11956444444444445,-0.419755,-0.419666,-8.900000000000574e-05
430.578,-0.419805,7.1762999999999995,0.11960499999999999,-0.41978,-0.419666,-0.00011400000000000299
